Year;#indiv;timeslope
0;0;0
1.0;0.5;2.07
2.0;0.5;2.14
3.0;0.5;2.21
4.0;0.5;2.28
5.0;1.0;2.35
6.0;1.5;2.42
7.0;2.0;2.49
8.0;3.0;2.56
9.0;4.0;2.63
10.0;7.5;2.7
11.0;13.0;2.77
12.0;27.5;2.84
13.0;45.0;2.91
14.0;65.5;2.98
15.0;84.0;3.05
16.0;93.0;3.12
17.0;94.0;3.19
18.0;95.5;3.26
19.0;97.0;3.33
20.0;97.5;3.4
21.0;97.0;3.47
22.0;99.0;3.54
23.0;100.0;3.61
24.0;99.0;3.68
25.0;98.5;3.75
26.0;97.5;3.82
27.0;97.0;3.89
28.0;96.5;3.96
29.0;96.0;4.03
30.0;95.5;4.1
31.0;96.0;4.17
32.0;97.5;4.24
33.0;98.5;4.31
34.0;99.0;4.38
35.0;98.0;4.45
36.0;98.0;4.52
37.0;98.5;4.59
38.0;99.5;4.66
39.0;98.0;4.73
40.0;98.5;4.8
41.0;97.5;4.87
42.0;96.0;4.94
43.0;96.5;5.01
44.0;96.5;5.08
45.0;97.0;5.15
46.0;96.0;5.22
47.0;97.0;5.29
48.0;96.5;5.36
49.0;98.0;5.43
50.0;96.5;5.5
51.0;97.5;5.57
52.0;97.5;5.64
53.0;97.5;5.71
54.0;98.0;5.78
55.0;99.5;5.85
56.0;99.5;5.92
57.0;99.5;5.99
58.0;97.5;6.06
59.0;96.5;6.13
60.0;97.5;6.2
61.0;99.0;6.27
62.0;98.0;6.34
63.0;97.5;6.41
64.0;98.5;6.48
65.0;99.0;6.55
66.0;98.5;6.62
67.0;97.5;6.69
68.0;96.5;6.76
69.0;97.0;6.83
70.0;95.5;6.9
71.0;97.0;6.97
72.0;98.0;7.04
73.0;98.0;7.11
74.0;97.0;7.18
75.0;95.5;7.25
76.0;96.0;7.32
77.0;98.5;7.39
78.0;97.5;7.46
79.0;96.5;7.53
80.0;94.5;7.6
81.0;96.0;7.67
82.0;96.0;7.74
83.0;95.5;7.81
84.0;97.5;7.88
85.0;97.5;7.95
86.0;98.0;8.02
87.0;96.5;8.09
88.0;97.0;8.16
89.0;97.5;8.23
90.0;98.0;8.3
91.0;97.0;8.37
92.0;97.0;8.44
93.0;98.0;8.51
94.0;98.0;8.58
95.0;96.5;8.65
96.0;97.0;8.72
97.0;98.5;8.79
98.0;98.5;8.86
99.0;96.5;8.93
100.0;98.5;9.0
101.0;97.5;9.07
102.0;97.0;9.14
103.0;96.5;9.21
104.0;97.0;9.28
105.0;96.0;9.35
106.0;94.0;9.42
107.0;98.0;9.49
108.0;98.5;9.56
109.0;98.5;9.63
110.0;97.5;9.7
111.0;97.5;9.77
112.0;96.5;9.84
113.0;95.0;9.91
114.0;96.5;9.98
115.0;99.0;10.05
116.0;96.5;10.12
117.0;99.5;10.19
118.0;100.0;10.26
119.0;100.0;10.33
120.0;97.5;10.4
121.0;98.0;10.47
122.0;96.5;10.54
123.0;97.0;10.61
124.0;99.0;10.68
125.0;99.5;10.75
126.0;99.0;10.82
127.0;97.5;10.89
128.0;97.0;10.96
129.0;97.5;11.03
130.0;99.0;11.1
131.0;98.0;11.17
132.0;97.5;11.24
133.0;97.5;11.31
134.0;98.5;11.38
135.0;100.0;11.45
136.0;99.5;11.52
137.0;98.5;11.59
138.0;99.0;11.66
139.0;98.5;11.73
140.0;95.5;11.8
141.0;95.0;11.87
142.0;97.5;11.94
143.0;97.5;12.01
144.0;97.5;12.08
145.0;99.0;12.15
146.0;98.0;12.22
147.0;96.0;12.29
148.0;95.5;12.36
149.0;95.5;12.43
150.0;95.5;12.5
151.0;98.0;12.57
152.0;99.0;12.64
153.0;98.5;12.71
154.0;98.0;12.78
155.0;99.0;12.85
156.0;96.5;12.92
157.0;98.5;12.99
158.0;97.5;13.06
159.0;97.5;13.13
160.0;98.5;13.2
161.0;99.5;13.27
162.0;97.0;13.34
163.0;98.5;13.41
164.0;97.5;13.48
165.0;97.0;13.55
166.0;98.5;13.62
167.0;98.0;13.69
168.0;99.0;13.76
169.0;97.0;13.83
170.0;98.0;13.9
171.0;98.0;13.97
172.0;99.0;14.04
173.0;99.0;14.11
174.0;97.5;14.18
175.0;97.5;14.25
176.0;95.0;14.32
177.0;97.5;14.39
178.0;97.0;14.46
179.0;98.5;14.53
180.0;98.5;14.6
181.0;97.5;14.67
182.0;97.5;14.74
183.0;96.5;14.81
184.0;96.0;14.88
185.0;98.0;14.95
186.0;98.0;15.02
187.0;99.5;15.09
188.0;99.0;15.16
189.0;98.5;15.23
190.0;98.0;15.3
191.0;97.5;15.37
192.0;98.0;15.44
193.0;98.0;15.51
194.0;97.0;15.58
195.0;98.5;15.65
196.0;99.0;15.72
197.0;98.0;15.79
198.0;98.5;15.86
199.0;98.5;15.93
200.0;99.0;16.0
201.0;99.0;16.07
202.0;96.0;16.14
203.0;98.0;16.21
204.0;97.5;16.28
205.0;98.0;16.35
206.0;97.0;16.42
207.0;95.5;16.49
208.0;96.0;16.56
209.0;98.0;16.63
210.0;97.5;16.7
211.0;97.0;16.77
212.0;96.0;16.84
213.0;98.0;16.91
214.0;98.5;16.98
215.0;97.5;17.05
216.0;96.5;17.12
217.0;97.0;17.19
218.0;97.0;17.26
219.0;97.5;17.33
220.0;95.0;17.4
221.0;96.5;17.47
222.0;95.5;17.54
223.0;97.0;17.61
224.0;97.0;17.68
225.0;98.0;17.75
226.0;97.0;17.82
227.0;96.0;17.89
228.0;97.5;17.96
229.0;98.0;18.03
230.0;98.5;18.1
231.0;99.0;18.17
232.0;98.5;18.24
233.0;98.5;18.31
234.0;98.5;18.38
235.0;98.5;18.45
236.0;96.5;18.52
237.0;97.0;18.59
238.0;98.0;18.66
239.0;98.5;18.73
240.0;99.0;18.8
241.0;98.0;18.87
242.0;97.5;18.94
243.0;99.0;19.01
244.0;99.0;19.08
245.0;99.0;19.15
246.0;98.5;19.22
247.0;98.5;19.29
248.0;97.5;19.36
249.0;97.5;19.43
250.0;98.0;19.5
251.0;96.5;19.57
252.0;95.5;19.64
253.0;97.0;19.71
254.0;97.0;19.78
255.0;99.0;19.85
256.0;98.0;19.92
257.0;98.5;19.99
258.0;98.0;20.06
259.0;98.5;20.13
260.0;97.5;20.2
261.0;96.5;20.27
262.0;95.0;20.34
263.0;95.5;20.41
264.0;96.5;20.48
265.0;98.0;20.55
266.0;98.5;20.62
267.0;99.0;20.69
268.0;99.5;20.76
269.0;99.0;20.83
270.0;98.0;20.9
271.0;98.0;20.97
272.0;97.0;21.04
273.0;98.0;21.11
274.0;99.0;21.18
275.0;98.0;21.25
276.0;97.0;21.32
277.0;97.0;21.39
278.0;97.5;21.46
279.0;98.5;21.53
280.0;97.0;21.6
281.0;97.0;21.67
282.0;96.5;21.74
283.0;97.5;21.81
284.0;97.5;21.88
285.0;98.0;21.95
286.0;96.5;22.02
287.0;97.0;22.09
288.0;97.5;22.16
289.0;97.0;22.23
290.0;98.0;22.3
291.0;99.5;22.37
292.0;99.0;22.44
293.0;97.0;22.51
294.0;97.5;22.58
295.0;98.5;22.65
296.0;97.5;22.72
297.0;96.0;22.79
298.0;98.0;22.86
299.0;99.5;22.93
300.0;99.0;23.0
