Year;PollutionDisplay;TotalA;TotalB;TotalC
0;0;0;0;0
0;0;0;0;0
10;132;0;117;0
20;118;0;102;0
30;120;0;104;0
40;128;0;112;0
50;125;1;109;0
60;128;1;112;0
70;124;0;107;0
80;123;0;105;0
90;126;1;110;0
100;122;2;105;0
110;128;1;112;0
120;123;0;112;3
130;121;0;111;2
140;127;0;112;0
150;124;1;110;1
160;127;0;114;0
170;131;0;115;1
180;121;0;109;1
190;112;0;103;5
200;115;1;108;5
210;126;0;113;0
220;124;0;108;0
230;121;1;106;1
240;123;0;112;2
250;124;0;109;0
260;126;0;109;0
270;127;0;110;0
280;116;0;107;4
290;112;0;106;8
300;98;0;95;16
310;95;0;92;22
320;86;1;85;25
330;94;0;92;22
340;74;0;73;39
350;14;0;14;98
360;2;0;2;109
370;1;0;1;100
380;0;0;0;105
390;1;0;1;107
400;0;0;0;107
410;1;0;1;115
420;0;0;0;107
430;0;0;0;110
440;0;0;0;110
450;0;0;0;112
460;0;6;0;109
470;1;1;1;106
480;0;2;0;103
490;0;3;0;110
500;0;0;0;117
510;0;4;0;110
520;0;1;0;109
530;0;7;0;106
540;0;3;0;109
550;1;0;1;113
560;0;4;0;109
570;4;0;4;110
580;0;1;0;108
590;0;5;0;109
600;0;8;0;108
610;0;23;0;93
620;0;21;0;95
630;3;10;3;104
640;0;2;0;116
650;0;1;0;112
660;0;3;0;109
670;0;4;0;108
680;0;6;0;104
690;0;15;0;97
700;0;24;0;86
710;0;30;0;82
720;0;59;0;55
730;0;112;0;1
740;0;119;0;1
750;0;114;0;0
760;0;109;0;0
770;0;115;0;0
780;0;106;0;1
790;0;104;0;1
800;0;112;0;1
810;0;107;0;0
820;0;108;0;0
830;0;112;0;1
840;0;109;0;0
850;1;115;1;0
860;0;110;0;0
870;0;118;0;1
880;1;116;1;2
890;0;120;0;0
900;0;118;0;1
910;0;109;0;0
920;0;113;0;0
930;0;115;0;0
940;0;116;0;0
950;0;109;0;0
960;0;106;0;1
970;0;109;0;0
980;0;110;0;0
990;0;110;0;0
1000;0;114;0;0
1010;0;119;0;0
1020;0;119;0;0
1030;0;107;0;0
1040;0;112;0;0
1050;0;106;0;1
1060;0;104;0;0
1070;0;120;0;0
1080;0;106;0;0
1090;0;99;0;0
1100;0;105;0;0
1110;0;109;0;1
1120;0;111;0;1
1130;0;107;0;1
1140;0;111;0;2
1150;0;105;0;0
1160;0;99;0;0
1170;0;120;0;0
1180;0;112;0;0
1190;0;117;0;0
1200;11;107;11;0
1210;9;108;9;0
1220;14;105;14;0
1230;33;85;33;0
1240;72;42;72;0
1250;128;0;114;0
1260;127;0;110;0
1270;124;1;108;0
1280;126;0;109;0
1290;128;1;112;0
1300;125;0;110;2
1310;116;0;107;4
1320;124;0;113;1
1330;124;0;109;0
1340;133;0;116;0
1350;123;0;109;1
1360;113;0;105;6
1370;98;0;94;14
1380;90;1;88;21
1390;92;0;90;25
1400;76;0;75;41
1410;1;1;1;112
1420;0;2;0;110
1430;1;2;1;110
1440;0;3;0;108
1450;1;0;1;117
1460;0;0;0;111
1470;0;0;0;110
1480;0;3;0;105
1490;0;9;0;100
1500;0;19;0;95
1510;3;7;3;103
1520;0;0;0;112
1530;0;8;0;107
1540;0;19;0;92
1550;0;10;0;104
1560;1;6;1;105
1570;0;8;0;105
1580;0;6;0;105
1590;0;13;0;102
1600;0;33;0;84
1610;0;66;0;49
1620;0;115;0;0
1630;0;106;0;0
1640;0;108;0;1
1650;0;104;0;0
1660;0;107;0;2
1670;0;110;0;0
1680;0;108;0;0
1690;1;115;1;2
1700;0;118;0;0
1710;0;103;0;0
1720;0;104;0;0
1730;1;116;1;2
1740;0;119;0;0
1750;0;111;0;0
1760;0;119;0;0
1770;1;118;1;1
1780;0;105;0;0
1790;1;114;1;5
1800;0;111;0;0
1810;0;114;0;1
1820;0;119;0;0
1830;3;114;3;0
1840;2;115;2;0
1850;2;114;2;4
1860;0;111;0;1
1870;0;110;0;0
1880;2;114;2;2
1890;5;112;5;1
1900;4;109;4;1
1910;2;115;2;2
1920;0;117;0;0
1930;0;106;0;1
1940;2;116;2;0
1950;1;116;1;2
1960;1;116;1;0
1970;0;118;0;1
1980;1;117;1;0
1990;2;114;2;0
2000;1;118;1;0
2010;0;118;0;2
2020;0;110;0;0
2030;0;114;0;0
2040;0;113;0;0
2050;0;115;0;0
2060;1;105;1;0
2070;1;119;1;0
2080;0;115;0;0
2090;0;107;0;0
2100;0;118;0;1
2110;2;112;2;4
2120;2;112;2;2
2130;6;107;6;4
2140;4;103;4;9
2150;1;107;1;10
2160;0;118;0;0
2170;1;104;1;0
2180;0;116;0;0
2190;0;111;0;0
2200;0;111;0;1
2210;3;114;3;1
2220;2;112;2;2
2230;2;115;2;2
2240;1;112;1;1
2250;1;118;1;0
2260;2;117;2;1
2270;1;117;1;1
2280;0;105;0;0
2290;0;112;0;0
2300;1;118;1;0
2310;1;112;1;3
2320;1;119;1;0
2330;1;113;1;0
2340;0;119;0;1
2350;0;119;0;0
2360;0;118;0;0
2370;4;115;4;0
2380;8;112;8;0
2390;5;115;5;0
2400;4;114;4;1
2410;2;115;2;1
2420;3;109;3;3
2430;5;109;5;5
2440;3;106;3;5
2450;3;109;3;8
2460;0;112;0;0
2470;5;113;5;1
2480;2;112;2;2
2490;4;116;4;0
2500;3;115;3;0
2510;0;118;0;0
2520;1;114;1;1
2530;9;110;9;0
2540;9;107;9;0
2550;7;112;7;0
2560;10;102;10;1
2570;30;87;30;0
2580;33;82;33;0
2590;37;78;37;0
2600;97;18;96;0
2610;123;0;108;0
2620;135;0;118;0
2630;124;0;109;0
2640;118;0;103;0
2650;122;0;106;0
2660;124;0;107;0
2670;123;0;106;0
2680;132;0;116;1
2690;118;1;107;1
2700;100;2;96;11
2710;100;2;96;14
2720;103;0;99;14
2730;100;0;97;16
2740;111;0;105;8
2750;101;0;97;15
2760;80;0;79;34
2770;27;0;27;88
2780;1;0;1;106
2790;0;0;0;106
2800;0;0;0;115
2810;0;0;0;114
2820;0;1;0;113
2830;0;3;0;109
2840;0;3;0;116
2850;1;2;1;109
2860;0;0;0;115
2870;1;1;1;108
2880;0;0;0;115
2890;0;0;0;98
2900;1;0;1;117
2910;0;0;0;111
2920;0;2;0;108
2930;0;1;0;111
2940;1;1;1;109
2950;1;2;1;109
2960;0;7;0;103
2970;3;3;3;104
2980;0;0;0;111
2990;0;0;0;111
3000;0;0;0;113
3010;1;2;1;107
3020;0;5;0;108
3030;1;5;1;110
3040;2;18;2;93
3050;0;4;0;109
3060;0;4;0;110
3070;0;0;0;112
3080;0;3;0;112
3090;0;1;0;113
3100;0;3;0;109
3110;2;4;2;105
3120;0;6;0;108
3130;0;14;0;97
3140;0;15;0;96
3150;4;20;4;90
3160;0;19;0;97
3170;0;24;0;88
3180;1;45;1;69
3190;0;53;0;63
3200;0;114;0;1
3210;0;109;0;0
3220;0;112;0;0
3230;0;108;0;0
3240;0;104;0;0
3250;0;117;0;0
3260;0;105;0;0
3270;0;106;0;0
3280;0;116;0;2
3290;0;110;0;0
3300;0;110;0;0
3310;0;105;0;1
3320;1;109;1;0
3330;0;119;0;0
3340;0;112;0;0
3350;0;105;0;0
3360;0;109;0;0
3370;0;116;0;0
3380;2;112;2;0
3390;2;113;2;2
3400;2;117;2;0
3410;1;118;1;0
3420;0;117;0;0
3430;1;114;1;0
3440;1;111;1;8
3450;0;103;0;0
3460;0;120;0;0
3470;1;116;1;1
3480;1;110;1;0
3490;2;115;2;2
3500;0;108;0;7
3510;0;111;0;1
3520;2;107;2;0
3530;12;104;12;1
3540;7;112;7;0
3550;5;114;5;0
3560;0;120;0;0
3570;10;108;10;0
3580;29;91;29;0
3590;26;86;26;2
3600;22;94;22;0
3610;39;77;39;0
3620;53;63;53;0
3630;121;0;114;0
3640;124;0;110;0
3650;127;0;112;0
3660;122;1;106;0
3670;125;1;111;0
3680;126;0;110;0
3690;126;0;110;0
3700;129;0;112;0
3710;119;0;103;0
3720;128;0;111;0
3730;131;2;116;0
3740;125;0;111;1
3750;123;0;113;3
3760;114;0;106;4
3770;124;0;112;2
3780;128;0;116;0
3790;123;0;107;0
3800;126;0;114;2
3810;124;0;111;2
3820;114;0;106;4
3830;115;0;107;6
3840;106;0;101;11
3850;111;0;106;8
3860;103;2;99;12
3870;117;0;109;4
3880;113;0;107;8
3890;114;0;108;7
3900;103;1;98;13
3910;93;0;91;25
3920;95;0;93;19
3930;90;0;89;27
3940;69;0;69;38
3950;32;0;32;87
3960;0;0;0;106
3970;0;0;0;112
3980;0;0;0;108
3990;0;0;0;113
4000;0;0;0;108
4010;0;0;0;107
4020;1;0;1;113
4030;0;0;0;114
4040;0;0;0;119
4050;0;0;0;104
4060;1;0;1;118
4070;0;0;0;109
4080;1;0;1;107
4090;0;0;0;110
4100;0;0;0;117
4110;0;0;0;109
4120;0;0;0;113
4130;0;0;0;112
4140;1;0;1;112
4150;0;0;0;106
4160;0;0;0;115
4170;0;0;0;106
4180;0;0;0;112
4190;0;0;0;110
4200;0;0;0;116
4210;0;0;0;108
4220;0;0;0;105
4230;0;0;0;107
4240;0;0;0;117
4250;0;0;0;114
4260;1;0;1;115
4270;1;0;1;110
4280;0;2;0;110
4290;1;3;1;112
4300;0;0;0;114
4310;0;0;0;111
4320;0;0;0;119
4330;0;0;0;109
4340;0;0;0;114
4350;0;0;0;105
4360;0;0;0;110
4370;0;0;0;115
4380;0;0;0;109
4390;0;0;0;106
4400;0;0;0;115
4402;0;0;0;116
